timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:01:24.726468+07:00,Hà Nội,153,/dl/assets/svg/weather/ic-weather-04n.svg,9.8 km/h,79%
2026-01-01T01:02:16.319531+07:00,Hà Nội,158,/dl/assets/svg/weather/ic-weather-04n.svg,10.1 km/h,81%
2026-01-01T02:01:43.007480+07:00,Hà Nội,166,/dl/assets/svg/weather/ic-weather-04n.svg,11.3 km/h,84%
2026-01-01T03:02:06.714829+07:00,Hà Nội,170,/dl/assets/svg/weather/ic-weather-04n.svg,11.8 km/h,85%
2026-01-01T04:01:42.563053+07:00,Hà Nội,174,/dl/assets/svg/weather/ic-weather-04n.svg,11 km/h,84%
2026-01-01T05:01:56.268153+07:00,Hà Nội,174,/dl/assets/svg/weather/ic-weather-04n.svg,8.9 km/h,84%
2026-01-01T06:01:38.086922+07:00,Hà Nội,178,/dl/assets/svg/weather/ic-weather-04n.svg,7.3 km/h,85%
2026-01-01T07:05:57.493136+07:00,Hà Nội,179,/dl/assets/svg/weather/ic-weather-04d.svg,6.1 km/h,83%
2026-01-01T08:30:16.527458+07:00,Hà Nội,182,/dl/assets/svg/weather/ic-weather-04d.svg,5.4 km/h,81%
2026-01-01T09:43:34.039117+07:00,Hà Nội,177,/dl/assets/svg/weather/ic-weather-04d.svg,5.7 km/h,81%
2026-01-01T10:31:38.047895+07:00,Hà Nội,170,/dl/assets/svg/weather/ic-weather-04d.svg,6.9 km/h,76%
2026-01-01T11:19:32.347457+07:00,Hà Nội,165,/dl/assets/svg/weather/ic-weather-04d.svg,8.6 km/h,74%
2026-01-01T12:06:50.500164+07:00,Hà Nội,165,/dl/assets/svg/weather/ic-weather-04d.svg,9.2 km/h,73%
2026-01-01T13:02:28.641082+07:00,Hà Nội,162,/dl/assets/svg/weather/ic-weather-04d.svg,12 km/h,69%
2026-01-01T14:03:28.259784+07:00,Hà Nội,155,/dl/assets/svg/weather/ic-weather-04d.svg,12.6 km/h,69%
2026-01-01T15:02:13.244152+07:00,Hà Nội,132,/dl/assets/svg/weather/ic-weather-04d.svg,11.7 km/h,69%
2026-01-01T16:03:15.112065+07:00,Hà Nội,107,/dl/assets/svg/weather/ic-weather-04d.svg,10.7 km/h,72%
2026-01-01T17:02:01.210984+07:00,Hà Nội,88,/dl/assets/svg/weather/ic-weather-04d.svg,10.5 km/h,70%
2026-01-01T18:01:32.404325+07:00,Hà Nội,88,/dl/assets/svg/weather/ic-weather-04d.svg,10.5 km/h,70%
2026-01-01T19:02:29.471441+07:00,Hà Nội,99,/dl/assets/svg/weather/ic-weather-04n.svg,16.2 km/h,81%
2026-01-01T20:11:51.094474+07:00,Hà Nội,153,/dl/assets/svg/weather/ic-weather-04n.svg,19.8 km/h,80%
2026-01-01T21:01:47.565123+07:00,Hà Nội,154,/dl/assets/svg/weather/ic-weather-04n.svg,19.8 km/h,80%
2026-01-01T22:02:09.726917+07:00,Hà Nội,134,/dl/assets/svg/weather/ic-weather-04n.svg,19.2 km/h,78%
2026-01-01T23:02:11.475534+07:00,Hà Nội,81,/dl/assets/svg/weather/ic-weather-04n.svg,18 km/h,76%
2026-01-02T00:02:45.324148+07:00,Hà Nội,63,/dl/assets/svg/weather/ic-weather-04n.svg,18.2 km/h,73%
2026-01-02T01:02:25.125752+07:00,Hà Nội,59,/dl/assets/svg/weather/ic-weather-04n.svg,17.8 km/h,73%
2026-01-02T02:01:35.196591+07:00,Hà Nội,58,/dl/assets/svg/weather/ic-weather-04n.svg,17.8 km/h,73%
2026-01-02T03:01:45.781445+07:00,Hà Nội,53,/dl/assets/svg/weather/ic-weather-04n.svg,17.3 km/h,76%
2026-01-02T04:01:34.680914+07:00,Hà Nội,53,/dl/assets/svg/weather/ic-weather-04n.svg,15.2 km/h,76%
2026-01-02T05:02:02.915612+07:00,Hà Nội,57,/dl/assets/svg/weather/ic-weather-04n.svg,16.1 km/h,73%
2026-01-02T06:01:32.923417+07:00,Hà Nội,62,/dl/assets/svg/weather/ic-weather-04n.svg,16.7 km/h,76%
2026-01-02T07:04:58.903756+07:00,Hà Nội,65,/dl/assets/svg/weather/ic-weather-04d.svg,15.5 km/h,77%
2026-01-02T08:29:32.668035+07:00,Hà Nội,69,/dl/assets/svg/weather/ic-weather-04d.svg,16.2 km/h,76%
2026-01-02T09:36:44.535921+07:00,Hà Nội,71,/dl/assets/svg/weather/ic-weather-04d.svg,16 km/h,76%
2026-01-02T10:29:46.767330+07:00,Hà Nội,73,/dl/assets/svg/weather/ic-weather-04d.svg,14.9 km/h,75%
2026-01-02T11:15:22.471002+07:00,Hà Nội,82,/dl/assets/svg/weather/ic-weather-04d.svg,13.7 km/h,75%
2026-01-02T12:04:57.786758+07:00,Hà Nội,82,/dl/assets/svg/weather/ic-weather-04d.svg,13.5 km/h,75%
2026-01-02T13:02:21.948523+07:00,Hà Nội,88,/dl/assets/svg/weather/ic-weather-04d.svg,13.7 km/h,74%
2026-01-02T14:03:33.834100+07:00,Hà Nội,86,/dl/assets/svg/weather/ic-weather-04d.svg,14.1 km/h,72%
2026-01-02T15:02:15.274739+07:00,Hà Nội,92,/dl/assets/svg/weather/ic-weather-04d.svg,13.6 km/h,72%
2026-01-02T16:03:06.981192+07:00,Hà Nội,103,/dl/assets/svg/weather/ic-weather-04d.svg,13.4 km/h,72%
2026-01-02T17:02:03.901388+07:00,Hà Nội,112,/dl/assets/svg/weather/ic-weather-04d.svg,13.4 km/h,72%
2026-01-02T18:01:59.552331+07:00,Hà Nội,117,/dl/assets/svg/weather/ic-weather-04n.svg,9.6 km/h,75%
2026-01-02T19:02:19.553273+07:00,Hà Nội,117,/dl/assets/svg/weather/ic-weather-04n.svg,9.6 km/h,75%
2026-01-02T20:11:28.733769+07:00,Hà Nội,125,/dl/assets/svg/weather/ic-weather-04n.svg,10.4 km/h,75%
2026-01-02T21:01:57.385719+07:00,Hà Nội,128,/dl/assets/svg/weather/ic-weather-04n.svg,10.4 km/h,75%
2026-01-02T22:01:42.574181+07:00,Hà Nội,137,/dl/assets/svg/weather/ic-weather-04n.svg,9.8 km/h,76%
2026-01-02T23:02:10.354991+07:00,Hà Nội,133,/dl/assets/svg/weather/ic-weather-04n.svg,9.2 km/h,77%
2026-01-03T00:01:48.650986+07:00,Hà Nội,128,/dl/assets/svg/weather/ic-weather-04n.svg,9.5 km/h,80%
2026-01-03T01:02:11.010729+07:00,Hà Nội,127,/dl/assets/svg/weather/ic-weather-04n.svg,9.5 km/h,80%
